id,original,file,av,category,result
118,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Jiangmin,undetected,None
119,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Webroot,type-unsupported,None
120,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Google,undetected,None
121,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Avira,undetected,None
122,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Antiy-AVL,undetected,None
123,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Gridinsoft,undetected,None
124,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Xcitium,undetected,None
125,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Microsoft,undetected,None
126,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,ViRobot,undetected,None
127,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,ZoneAlarm,undetected,None
128,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,GData,undetected,None
129,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Cynet,undetected,None
130,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,BitDefenderFalx,type-unsupported,None
131,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,AhnLab-V3,undetected,None
132,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Acronis,undetected,None
133,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,McAfee,undetected,None
134,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,MAX,undetected,None
135,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,VBA32,undetected,None
136,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Cylance,failure,None
137,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Zoner,undetected,None
138,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Rising,undetected,None
139,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Yandex,undetected,None
140,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,SentinelOne,undetected,None
141,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,MaxSecure,undetected,None
142,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Fortinet,undetected,None
143,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,AVG,undetected,None
144,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,Panda,undetected,None
145,less,/home/alex/Projects/MKPKResults/bin/less/less_reverse_tcp,CrowdStrike,type-unsupported,None
146,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,Bkav,undetected,None
147,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,Lionic,undetected,None
148,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,Elastic,undetected,None
149,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,MicroWorld-eScan,undetected,None
150,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,ClamAV,undetected,None
151,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,FireEye,undetected,None
152,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,CAT-QuickHeal,undetected,None
153,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,ALYac,undetected,None
154,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,Malwarebytes,undetected,None
155,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,Zillya,undetected,None
156,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,Paloalto,type-unsupported,None
157,less,/home/alex/Projects/MKPKResults/bin/less/less_encrypt,Sangfor,undetected,None
